,Authors,Poems
0,Fernando Pessoa,"O poeta é um fingidor.
Finge tão completamente
Que chega a fingir que é dor
A dor que deveras sente."
1,Fernando Pessoa,"AUTOPSICOGRAFIA

O poeta é um fingidor.
Finge tão completamente
Que chega a fingir que é dor
A dor que deveras sente.

E os que lêem o que escreve,
Na dor lida sentem bem,
Não as duas que ele teve,
Mas só a que eles não têm.

E assim nas calhas da roda
Gira, a entreter a razão,
Esse comboio de corda
Que se chama o coração."
2,Mario Quintana,"SIMULTANEIDADE

- Eu amo o mundo! Eu detesto o mundo! Eu creio em Deus! Deus é um absurdo! Eu vou me matar! Eu quero viver!
- Você é louco?
- Não, sou poeta."
3,Clarice Pacheco,"Caderno de poesias

Caderno de poesias
é um belo lugar.
Tantas coisas lindas
que eu gostaria de falar.
Eu falo em forma de versos
para todos poderem escutar.
Agora você já sabe
por que os poetas passam os dias
escrevendo em seus cadernos de poesias."
4,Tom Jobim,"Ah, quem me dera ser poeta
Pra cantar em seu louvor
Belas canções, lindos poemas
Doces frases de amor"
5,Pedro Bial,"Poesia não dá camisa.
Mas quando o poeta tem uma musa,
não precisa de blusa,
vive de brisa."
6,Mario Quintana,"Os poemas são pássaros que chegam
não se sabe de onde e pousam
no livro que lês.
Quando fechas o livro, eles alçam vôo
como de um alçapão.
Eles não têm pouso
nem porto;
alimentam-se um instante em cada
par de mãos e partem.
E olhas, então, essas tuas mãos vazias,
no maravilhado espanto de saberes
que o alimento deles já estava em ti..."
7,Mario Quintana,"[Busca]
Subnutrido de beleza, meu cachorro-poema vai farejando poesia em tudo, pois nunca se sabe quanto tesouro andará desperdiçado por aí...
Quanto filhotinho de estrela atirado no lixo!"
8,Luís de Camões,"Amor é fogo que arde sem se ver;
É ferida que dói, e não se sente;
É um contentamento descontente;
É dor que desatina sem doer.

É um não querer mais que bem querer;
É um andar solitário entre a gente;
É nunca contentar-se de contente;
É um cuidar que se ganha em se perder.

É querer estar preso por vontade;
É servir a quem vence, o vencedor;
É ter com quem nos mata, lealdade.

Mas como causar pode seu favor
Nos corações humanos amizade,
Se tão contrário a si é o mesmo Amor?"
9,Mario Quintana,"Quem Sabe um Dia

Quem sabe um dia
Quem sabe um seremos
Quem sabe um viveremos
Quem sabe um morreremos!

Quem é que
Quem é macho
Quem é fêmea
Quem é humano, apenas!

Sabe amar
Sabe de mim e de si
Sabe de nós
Sabe ser um!

Um dia
Um mês
Um ano
Um(a) vida!"
10,Arthur Rimbaud,"O poeta se faz vidente por meio de um longo, imenso e refletido desregramento de todos os sentidos. Todas as formas de amor, de sentimento, de loucura; ele procura ele mesmo, ele esgota nele todos os venenos, para só guardar as quintessências."
11,Sociedade dos poetas mortos,"...Poesia...

Nós não lemos e escrevemos poesia porque é bonito,
nós lemos e escrevemos poesia porque pertencemos a raça humana e a raça humana está cheia de paixão...""

Citação do filme ""Sociedade dos Poetas Mortos"""
12,Bruno Bezerra,"AS ONDA
(poema do projeto Noronha – Imagem e Poesia)

Ondas que parecem abraços
Calorosos, afetuosos, apertados...
Em verdade
As ondas de Noronha
Não são ondas, são abraços...
Que lavam a alma 
De homens, arraias e barcos..."
13,Charles Bukowski,"O que eu odeio é que algum dia tudo se reduzirá a nada, os amores, os poemas. Acabaremos recheados de terra como um taco barato. Que coisa mais triste, tudo é tão triste - a gente passa a vida inteira feito bobo pra depois morrer que nem besta."
14,Bráulio Bessa,"Acredite, pense e faça,
use sua intuição,
transforme sonho em suor,
pensamento em ação.
Enfrente cada batalha 
sabendo que a gente falha
e que isso é natural,
cair pra se levantar, 
aprender para ensinar
que o bem é maior que o mal."
15,Alice Ruiz,"Pode haver um dia
em que a poesia
mude de endereço
deixe apenas tédio

mas enquanto isso
vem brincar comigo
vamos até onde
possa ser só riso
possa ir tão longe
possa ser tão lindo
pode ser brinquedo
pode ser tão sério"
16,Giordano Bruno,"A poesia não nasce das regras, a não ser em parte mínima e insignificante; mas as regras derivam das poesias; e, no entanto, são tantos os géneros e as espécies de verdadeiras regras, quanto são os géneros e as espécies de verdadeiros poetas."
17,Ivone Boechat,"TRAIÇÃO

Hoje,
que as  memórias se esvaem 
e os amigos fogem de mim,
só tenho minhas poesias
como amigas
confidentes,
mesmo assim,
impertinentes,
sem rima e vazias
não inspiram a menor confiança:
elas também me traem."
18,Adélia Prado,"""O transe poético é o experimento de uma realidade anterior a você. Ela te observa e te ama. Isto é sagrado. É de Deus. É seu próprio olhar pondo nas coisas uma claridade inefável. Tentar dizê-la é o labor do poeta."""
19,Carlos Drummond de Andrade,"Memória

Amar o perdido
deixa confundido
este coração.

Nada pode o olvido
contra o sem sentido
apelo do Não.

As coisas tangíveis
tornam-se insensíveis
à palma da mão

Mas as coisas findas
muito mais que lindas,
essas ficarão."
